region_id,region_nombre,comuna_id,comuna_nombre,total_votos_1era,votos_boric,votos_kast,votos_artes,votos_parisi,votos_meo,votos_sichel,votos_provoste,opcion,n_votos_pleb,total_votos_pleb,voto_apruebo,voto_rechazo,participacion,dif_1era_pleb
3007,DEL MAULE,2635,COLBUN,7405,1512,2140,76,1132,674,834,1198,APRUEBO,5375,6924,5375,,.3860696,481
3001,DE TARAPACA,2505,COLCHANE,915,17,419,4,433,5,10,18,APRUEBO,131,524,131,,.17429048,391
3013,METROPOLITANA DE SANTIAGO,2793,COLINA,47073,7968,18091,385,3995,3011,9621,3522,APRUEBO,32524,49452,32524,,.5593667,-2379
3009,DE LA ARAUCANIA,2697,COLLIPULLI,9624,1119,4949,89,1170,486,676,923,APRUEBO,5159,8340,5159,,.3784214,1284
3006,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2582,COLTAUCO,7217,1526,1880,74,1139,582,943,974,APRUEBO,6155,7545,6155,,.47355846,-328
3004,DE COQUIMBO,2537,COMBARBALA,5081,1212,885,67,946,211,377,1270,APRUEBO,4428,5064,4428,,.3988764,17
3008,DEL BIOBIO,2642,CONCEPCION,98903,24338,30048,1428,12689,5752,12723,11041,APRUEBO,77106,104579,77106,,.51952434,-5676
3013,METROPOLITANA DE SANTIAGO,2761,CONCHALI,53658,17619,10987,1146,4786,6538,6007,5973,APRUEBO,56395,65706,56395,,.54430622,-12048
3005,DE VALPARAISO,2543,CONCON,25004,5100,9357,222,2128,1251,4702,2029,APRUEBO,15705,24384,15705,,.63783348,620
3007,DEL MAULE,2613,CONSTITUCION,17607,2927,4479,188,3860,1188,2062,2754,APRUEBO,14300,18307,14300,,.45839491,-700
3008,DEL BIOBIO,2657,CONTULMO,2755,330,1557,26,215,139,138,306,APRUEBO,1149,2094,1149,,.34705395,661
3003,DE ATACAMA,2517,COPIAPO,56439,11766,11839,786,13573,3225,4341,10373,APRUEBO,51149,61103,51149,,.49483976,-4664
3004,DE COQUIMBO,2527,COQUIMBO,72581,18946,15849,1052,14960,5792,7474,7919,APRUEBO,69539,82530,69539,,.49619746,-9949
3008,DEL BIOBIO,2643,CORONEL,40853,8251,11597,496,10237,3193,2766,4777,APRUEBO,33464,44286,33464,,.49729171,-3433
3014,DE LOS RIOS,2811,CORRAL,2310,578,556,22,310,134,148,519,APRUEBO,1991,2379,1991,,.43720162,-69
3011,DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,2737,COYHAIQUE,22852,5787,6756,284,2692,1090,2350,3845,APRUEBO,17165,22512,17165,,.41692621,340
3009,DE LA ARAUCANIA,2677,CUNCO,7986,1091,3389,57,961,412,779,1167,APRUEBO,4090,6082,4090,,.3059161,1904
3009,DE LA ARAUCANIA,2698,CURACAUTIN,7812,996,4160,59,657,353,603,840,APRUEBO,3491,5922,3491,,.28205982,1890
3013,METROPOLITANA DE SANTIAGO,2802,CURACAVI,13601,3875,3664,168,1238,1002,1831,1661,APRUEBO,11713,14789,11713,,.56909502,-1188
3010,DE LOS LAGOS,2719,CURACO DE VELEZ,1266,255,301,10,206,57,114,291,APRUEBO,1091,1315,1091,,.35245019,-49
3008,DEL BIOBIO,2658,CURANILAHUE,12543,2127,3898,157,2550,789,801,1962,APRUEBO,9807,13158,9807,,.42869264,-615
3009,DE LA ARAUCANIA,2678,CURARREHUE,2942,548,1231,51,270,124,341,333,APRUEBO,1740,2655,1740,,.31939438,287
